scenario_name,scenario_description,scenario_type,probability,factor_type,factor_id,shock_type,shock_value,shock_description
Scenario_1,Stress scenario based on 2008 financial crisis,stress,,yield_curve,16,parallel_shift_bps,300.0,Yield curve shift due to market panic
Scenario_1,Stress scenario based on 2008 financial crisis,stress,,spread_curve,12,parallel_shift_bps,500.0,Credit spread widening during crisis
Scenario_2,FX rate shock scenario based on Brexit uncertainty,stress,,fx_rate,16,parallel_shift_pct,0.9,GBP depreciation due to Brexit uncertainty
Scenario_3,Credit stress scenario based on sovereign debt crisis,stress,,credit_spread,16,parallel_shift_bps,1000.0,Sovereign debt crisis leading to credit spread widening
Scenario_4,Interest rate shock scenario based on monetary policy tightening,stress,,yield_curve,16,parallel_shift_bps,200.0,Monetary policy tightening leading to yield curve shift
Scenario_5,FX rate shock scenario based on global economic downturn,stress,,fx_rate,16,parallel_shift_pct,0.85,Global economic downturn leading to FX rate depreciation
Scenario_6,Credit stress scenario based on financial institution failure,stress,,credit_spread,16,parallel_shift_bps,800.0,Financial institution failure leading to credit spread widening
Scenario_7,Interest rate shock scenario based on central bank intervention,stress,,yield_curve,16,parallel_shift_bps,150.0,Central bank intervention leading to yield curve shift
Scenario_8,FX rate shock scenario based on trade war escalation,stress,,fx_rate,16,parallel_shift_pct,0.95,Trade war escalation leading to FX rate appreciation
Scenario_9,Credit stress scenario based on systemic risk event,stress,,credit_spread,16,parallel_shift_bps,1200.0,Systemic risk event leading to credit spread widening
Scenario_10,Interest rate shock scenario based on economic growth surprise,stress,,yield_curve,16,parallel_shift_bps,100.0,Economic growth surprise leading to yield curve shift
